branch,marks_10th,marks_12th,gender,board_10th,board_12th,category,gpa_1,rank,normalized_rank,cgpa,current_back,ever_back,gpa_2,gpa_3,gpa_4,gpa_5,gpa_6,olympiads_qualified,technical_projects,tech_quiz,engg_coaching,ntse_scholarships,miscellany_tech_events
EEE,83.4,80.4,Male,CBSE,CBSE,GEN,6.76,31432.0,11.225714285714286,7.13,0.0,0.0,7.06,6.82,6.47,8.31,7.43,4.0,3.0,1.0,4.0,0.0,5.0
EEE,84.4,71.4,Male,CBSE,BSEB,GEN,6.82,27719.0,9.899642857142856,6.7,0.0,1.0,6.52,6.29,6.65,7.25,6.81,0.0,0.0,0.0,0.0,0.0,0.0
EEE,75.57,69.22,Female,BSEB,BSEB,GEN,6.71,33805.0,12.073214285714286,6.85,0.0,0.0,6.52,6.29,6.82,7.5,7.31,5.0,3.0,2.0,5.0,0.0,5.0
EEE,75.0,66.0,Male,CBSE,CBSE,OBC,6.88,45379.0,16.206785714285715,6.51,0.0,3.0,6.59,6.18,6.6,6.44,6.37,3.0,1.0,2.0,1.0,2.0,5.0
EEE,84.0,72.0,Male,CBSE,CBSE,GEN,6.82,26580.0,9.492857142857142,6.62,0.0,2.0,6.65,6.65,6.47,6.62,6.63,3.0,1.0,2.0,3.0,0.0,0.0
EEE,78.0,70.0,Male,CBSE,CBSE,GEN,6.71,17385.0,6.208928571428571,6.15,0.0,4.0,6.0,5.58,6.04,6.44,6.13,3.0,2.0,1.0,3.0,0.0,0.0
EEE,89.2,73.2,Male,CBSE,CBSE,OBC,7.06,53614.0,19.14785714285714,6.6,0.0,1.0,6.65,5.82,7.06,6.31,6.68,4.0,3.0,1.0,2.0,2.0,0.0
EEE,91.8,69.2,Female,CBSE,CBSE,GEN,7.47,33366.0,11.916428571428572,7.58,0.0,0.0,7.82,6.82,7.65,8.31,7.44,3.0,1.0,2.0,3.0,2.5,0.0
EEE,93.6,91.25,Female,ICSE,ICSE,GEN,8.35,27887.0,9.959642857142857,8.26,0.0,0.0,7.65,7.76,7.94,9.0,8.94,6.0,2.0,4.0,3.0,2.5,0.0
EEE,83.3,76.6,Male,CBSE,CBSE,GEN,7.65,31279.0,11.171071428571429,7.2,0.0,0.0,6.65,7.06,7.18,7.44,7.2,3.0,1.0,2.0,3.0,0.0,0.0
EEE,71.0,75.0,Male,ICSE,CBSE,OBC,5.88,39143.0,13.979642857142856,6.15,0.0,5.0,6.35,6.23,6.52,5.69,6.18,5.0,3.0,2.0,5.0,0.0,0.0
EEE,93.4,88.6,Male,CBSE,CBSE,GEN,7.35,18630.0,6.6535714285714285,7.81,0.0,0.0,7.53,7.0,7.88,8.75,8.37,4.0,2.0,2.0,4.0,0.0,0.0
EEE,90.4,81.2,Female,CBSE,CBSE,GEN,8.18,20217.0,7.220357142857143,8.12,0.0,0.0,8.24,7.71,7.88,8.56,8.18,6.0,4.0,2.0,6.0,0.0,0.0
EEE,81.0,86.4,Male,CBSE,CBSE,GEN,6.82,19448.0,6.945714285714286,6.66,0.0,0.0,6.59,6.29,6.71,6.44,6.63,3.0,2.0,1.0,3.0,0.0,0.0
EEE,90.2,86.6,Male,CBSE,CBSE,GEN,6.88,35238.0,12.585,7.42,0.0,0.0,7.06,7.47,7.65,8.06,7.43,8.0,3.0,5.0,8.0,0.0,0.0
EEE,90.16,80.6,Male,CBSE,CBSE,GEN,7.47,30325.0,10.830357142857142,7.11,0.0,0.0,6.82,6.65,7.06,7.81,6.88,4.0,3.0,1.0,4.0,0.0,0.0
EEE,90.8,88.8,Male,CBSE,CBSE,OBC,7.06,42689.0,15.246071428571428,7.12,0.0,0.0,7.35,6.94,7.35,7.0,7.0,5.0,3.0,3.0,5.0,0.0,0.0
EEE,94.2,88.6,Male,CBSE,CBSE,GEN,7.82,41527.0,14.831071428571429,7.71,0.0,0.0,7.0,7.29,7.82,8.25,8.06,2.0,1.0,1.0,1.0,1.0,0.0
EEE,70.0,72.6,Male,BSEB,BSEB,OBC,6.35,58442.0,20.872142857142858,6.84,0.0,1.0,6.71,6.35,7.35,7.0,7.31,3.0,1.0,2.0,2.0,1.0,0.0
EEE,91.8,89.0,Female,CBSE,CBSE,GEN,7.71,28326.0,10.116428571428571,7.63,0.0,0.0,7.82,7.76,7.35,7.88,7.25,5.0,2.0,3.0,5.0,0.0,0.0
EEE,91.4,80.6,Male,CBSE,CBSE,GEN,7.06,29226.0,10.437857142857142,7.32,0.0,0.0,7.06,6.94,6.82,8.13,8.0,5.0,3.0,2.0,2.0,2.5,0.0
EEE,88.0,85.6,Female,CBSE,CBSE,GEN,8.06,34133.0,12.190357142857144,7.87,0.0,0.0,7.88,7.65,7.71,8.19,7.75,5.0,2.0,3.0,5.0,0.0,0.0
EEE,67.6,70.8,Male,BSEB,BSEB,GEN,7.06,43162.0,15.415,7.31,0.0,0.0,6.88,7.12,7.35,8.13,7.94,4.0,3.0,1.0,4.0,0.0,0.0
EEE,72.4,69.4,Male,BSEB,BSEB,GEN,6.71,28995.0,10.355357142857143,7.25,0.0,0.0,7.06,7.24,7.24,8.06,7.31,4.0,3.0,1.0,4.0,0.0,0.0
EEE,77.0,83.8,Female,CBSE,CBSE,OBC,7.82,47000.0,16.785714285714285,7.3,0.0,0.0,6.41,6.82,7.29,7.88,7.62,5.0,3.0,3.0,5.0,0.0,0.0
EEE,87.0,87.0,Male,CBSE,CBSE,GEN,7.82,40780.0,14.564285714285715,8.08,0.0,0.0,7.47,7.71,7.65,8.63,8.68,3.0,2.0,1.0,0.0,2.5,0.0
EEE,85.0,78.0,Male,CBSE,CBSE,GEN,7.35,26742.0,9.550714285714285,6.72,0.0,1.0,6.36,6.29,6.24,6.76,6.25,3.0,2.0,1.0,0.0,2.5,0.0
EEE,84.8,74.2,Female,CBSE,CBSE,GEN,6.47,33750.0,12.053571428571429,6.82,0.0,0.0,6.29,6.41,7.35,7.13,7.375,3.0,1.0,2.0,3.0,0.0,0.0
EEE,94.2,88.2,Male,CBSE,CBSE,GEN,7.71,34806.0,12.430714285714286,7.85,0.0,0.0,7.65,7.88,7.65,8.31,7.94,1.0,1.0,0.0,1.0,0.0,0.0
EEE,89.2,77.0,Male,CBSE,CBSE,GEN,7.12,43314.0,15.469285714285714,6.93,0.0,3.0,6.53,6.47,6.82,7.69,6.75,2.0,1.0,1.0,2.0,0.0,0.0
EEE,83.4,62.0,Male,CBSE,CBSE,GEN,6.66,35935.0,12.833928571428572,6.73,0.0,0.0,6.88,6.12,6.82,7.19,6.8,2.0,0.0,2.0,2.0,0.0,0.0
EEE,72.43,61.11,Male,BSEB,BSEB,GEN,6.12,38204.0,13.644285714285715,6.428,0.0,2.0,6.3,6.53,6.41,6.81,6.75,7.0,3.0,4.0,7.0,0.0,0.0
EEE,71.6,73.4,Male,BSEB,BSEB,OBC,6.65,28219.0,10.078214285714285,6.64,0.0,0.0,6.53,6.71,6.65,6.69,7.25,4.0,1.0,3.0,4.0,0.0,0.0
EEE,86.0,75.2,Male,CBSE,CBSE,GEN,6.9,27108.0,9.68142857142857,6.5,0.0,2.0,5.96,5.76,7.0,6.63,6.75,6.0,1.0,5.0,6.0,0.0,0.0
EEE,88.0,80.0,Male,CBSE,CBSE,GEN,7.18,20821.0,7.436071428571428,7.07,0.0,0.0,7.06,6.59,7.24,7.31,7.06,0.0,0.0,0.0,0.0,0.0,0.0
EEE,84.4,72.8,Male,CBSE,CBSE,GEN,6.88,25505.0,9.10892857142857,7.28,0.0,0.0,6.65,7.18,7.59,8.13,7.3125,2.0,2.0,0.0,2.0,0.0,0.0
EEE,90.6,87.66,Male,CBSE,CBSE,GEN,8.24,44626.0,15.937857142857142,7.74,0.0,0.0,7.24,7.94,7.24,8.06,7.19,4.0,2.0,2.0,4.0,0.0,0.0
EEE,92.8,89.6,Male,CBSE,CBSE,GEN,8.0,20917.0,7.470357142857143,7.58,0.0,0.0,7.47,7.65,7.12,7.44,7.81,0.0,0.0,0.0,0.0,0.0,0.0
EEE,79.0,73.0,Male,RBSE,RBSE,GEN,6.35,20530.0,7.332142857142857,6.53,0.0,3.0,6.0,6.29,6.76,7.25,6.5,0.0,0.0,0.0,0.0,0.0,0.0
EEE,83.0,81.6,Male,ICSE,CBSE,GEN,8.35,18135.0,6.476785714285715,7.54,0.0,0.0,7.41,7.18,7.0,7.75,7.37,0.0,0.0,0.0,0.0,0.0,0.0
IT,88.2,82.4,Male,CBSE,CBSE,GEN,7.24,38603.0,13.786785714285715,7.45,0.0,0.0,7.24,7.18,7.0,7.94,8.19,2.0,0.0,2.0,2.0,0.0,0.0
IT,91.2,76.6,Female,CBSE,CBSE,GEN,7.88,33053.0,11.804642857142857,7.7,0.0,0.0,6.88,7.47,7.21,7.63,8.69,0.0,0.0,3.0,0.0,0.0,2.0
IT,81.14,62.55,Male,BSEB,BSEB,OBC,6.19,67610.375,23.851026785714282,7.0,0.0,4.0,6.59,6.88,6.47,7.19,8.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,73.4,81.9,Male,CBSE,Andhra Pradesh Board,OBC,5.76,37581.0,13.421785714285715,6.5,0.0,5.0,6.29,6.41,6.0,7.19,7.43,2.0,1.0,1.0,1.0,1.0,5.0
IT,89.2,77.8,Female,CBSE,CBSE,OBC,6.94,67610.375,23.851026785714282,6.85,0.0,4.0,6.52,6.52,6.12,7.185,7.94,6.0,2.0,4.0,6.0,0.0,0.0
IT,84.57,61.0,Female,CBSE,CBSE,SC,6.41,67610.375,23.851026785714282,6.71,0.0,4.0,6.05,6.11,6.11,7.13,8.5,0.0,0.0,0.0,6.0,0.0,0.0
IT,91.0,86.7,Male,CBSE,CBSE,GEN,7.59,30080.0,10.742857142857142,6.63,0.0,1.0,7.47,6.59,5.88,6.05,6.13,2.0,1.0,1.0,1.0,1.0,0.0
IT,86.2,78.4,Male,CBSE,CBSE,SC,7.06,67610.375,23.851026785714282,6.67,0.0,5.0,6.41,6.29,6.23,6.93,7.125,4.0,1.0,3.0,3.0,1.0,0.0
IT,90.8,78.8,Female,ICSE,CBSE,GEN,8.29,34269.0,12.238928571428572,8.16,0.0,0.0,7.47,7.76,7.76,8.56,9.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,94.0,84.0,Male,CBSE,CBSE,GEN,7.65,31228.0,11.152857142857142,7.05,0.0,2.0,6.59,6.12,6.9,6.7,7.81,2.0,2.0,1.0,2.0,0.0,0.0
IT,87.2,82.6,Male,CBSE,CBSE,GEN,7.65,36871.0,13.168214285714285,7.51,0.0,0.0,7.12,6.41,7.12,7.94,8.94,6.0,4.0,2.0,2.0,2.5,0.0
IT,78.14,81.8,Male,ICSE,CBSE,SC,6.94,67610.375,23.851026785714282,6.85,0.0,2.0,6.24,6.11,6.65,7.63,7.63,4.0,4.0,0.0,4.0,0.0,5.0
IT,90.0,89.0,Male,ICSE,ICSE,GEN,7.29,39139.0,13.978214285714285,7.1,0.0,0.0,7.12,6.29,6.47,7.0,8.31,5.0,2.0,3.0,5.0,0.0,0.0
IT,92.6,83.8,Female,ICSE,CBSE,OBC,8.35,50893.0,18.17607142857143,8.06,0.0,0.0,7.53,7.12,7.41,8.75,9.31,5.0,2.0,3.0,5.0,0.0,0.0
IT,87.83,77.85,Male,RBSE,RBSE,GEN,7.71,37430.0,13.367857142857142,7.53,0.0,0.0,7.47,6.65,7.12,8.44,7.81,6.0,5.0,1.0,6.0,0.0,0.0
MECH,75.8,75.6,Male,CBSE,CBSE,GEN,7.06,23470.0,8.382142857142858,7.02,0.0,0.0,7.12,6.59,6.76,7.81,7.69,6.0,2.0,4.0,6.0,0.0,0.0
MECH,81.0,79.0,Male,CBSE,CBSE,GEN,6.51,20908.0,7.467142857142857,7.0,0.0,1.0,6.47,6.41,7.12,7.35,7.94,6.0,4.0,2.0,4.0,2.0,5.0
MECH,90.2,87.2,Male,CBSE,CBSE,GEN,6.82,16319.0,5.828214285714286,7.23,0.0,0.0,6.53,7.35,7.06,8.06,8.31,6.0,4.0,2.0,4.0,2.0,5.0
MECH,87.0,81.2,Male,CBSE,CBSE,GEN,8.18,19611.0,7.003928571428571,8.73,0.0,0.0,8.29,8.82,8.53,9.5,9.44,3.0,2.0,1.0,3.0,0.0,0.0
MECH,81.8,85.6,Male,CBSE,CBSE,GEN,7.53,23848.0,8.517142857142858,7.4,0.0,0.0,7.47,7.0,6.53,8.06,8.06,6.0,5.0,1.0,4.0,2.0,0.0
MECH,89.4,86.33,Male,ICSE,Goa Board,GEN,7.94,11814.0,4.219285714285714,7.7,0.0,0.0,7.35,7.71,7.18,8.69,6.81,3.0,1.0,2.0,2.0,1.0,5.0
MECH,77.16,80.8,Male,UP Board,UP Board,GEN,7.65,19638.0,7.013571428571429,8.15,0.0,0.0,7.76,8.18,8.35,9.19,8.94,0.0,0.0,0.0,0.0,0.0,0.0
MECH,85.0,70.0,Male,CBSE,CBSE,OBC,7.12,54014.0,19.290714285714287,6.32,0.0,2.0,6.59,6.0,6.0,6.13,6.31,2.0,0.0,2.0,2.0,0.0,4.0
MECH,92.4,92.2,Male,ICSE,ICSE,GEN,7.41,21390.0,7.639285714285714,7.4,0.0,0.0,7.06,6.82,7.65,8.19,7.25,2.0,0.0,2.0,2.0,0.0,4.0
MECH,84.0,86.0,Male,ICSE,ICSE,GEN,7.29,22221.0,7.936071428571428,7.15,0.0,0.0,6.71,6.82,7.06,8.25,6.81,2.0,0.0,2.0,2.0,0.0,4.0
MECH,67.4,62.4,Male,BSEB,BSEB,SC,6.35,67610.375,23.851026785714282,6.23,0.0,3.0,6.0,6.06,6.06,6.81,7.25,5.0,3.0,2.0,4.0,1.0,5.0
MECH,85.4,82.0,Male,CBSE,CBSE,GEN,7.41,20427.0,7.295357142857143,7.21,0.0,0.0,6.76,6.53,7.12,8.69,7.94,0.0,0.0,0.0,0.0,0.0,0.0
MECH,81.6,72.0,Male,BSEB,BSEB,GEN,6.23,25729.0,9.188928571428571,7.31,0.0,0.0,6.42,7.65,7.42,8.5,8.19,4.0,2.0,2.0,4.0,0.0,0.0
MECH,87.8,83.4,Male,CBSE,CBSE,GEN,7.47,23141.0,8.264642857142857,8.2,0.0,0.0,7.18,8.29,8.41,9.44,8.56,4.0,2.0,2.0,4.0,0.0,0.0
MECH,88.6,78.8,Male,CBSE,CBSE,GEN,7.65,26002.0,9.286428571428571,7.98,0.0,0.0,7.43,7.06,8.0,8.94,8.88,4.0,3.0,1.0,4.0,0.0,4.0
MECH,79.0,62.0,Male,CBSE,BSEB,GEN,6.41,23169.0,8.274642857142856,6.57,0.0,1.0,6.47,6.82,6.18,6.94,8.56,3.0,1.0,2.0,3.0,0.0,0.0
MECH,89.8,86.2,Female,CBSE,CBSE,GEN,8.06,19960.0,7.128571428571429,7.81,0.0,0.0,7.59,7.12,7.65,8.63,8.56,4.0,3.0,1.0,4.0,0.0,4.0
MECH,71.2,73.6,Male,BSEB,CBSE,GEN,7.24,24002.0,8.572142857142858,7.91,0.0,0.0,6.53,8.06,7.94,9.06,8.56,4.0,3.0,1.0,4.0,0.0,4.0
MECH,93.0,84.2,Male,CBSE,CBSE,GEN,7.65,22319.0,7.971071428571428,7.75,0.0,0.0,6.71,7.59,7.41,8.94,8.5,4.0,3.0,1.0,4.0,0.0,4.0
MECH,75.4,70.2,Male,BSEB,BSEB,GEN,6.76,24842.0,8.872142857142856,7.24,0.0,0.0,7.41,7.41,6.94,7.81,7.5,4.0,1.0,3.0,4.0,0.0,0.0
MECH,82.0,86.4,Male,CBSE,CBSE,GEN,7.71,18405.0,6.573214285714286,7.98,0.0,0.0,7.59,7.53,7.76,8.75,8.81,0.0,0.0,0.0,0.0,0.0,4.0
MECH,85.14,88.2,Male,ICSE,CBSE,GEN,7.59,23334.0,8.333571428571428,8.31,0.0,0.0,7.71,8.29,8.35,9.13,8.88,3.0,1.0,2.0,3.0,0.0,0.0
MECH,91.6,86.8,Male,Haryana Board,CBSE,GEN,7.12,19368.0,6.917142857142857,7.13,0.0,0.0,6.94,6.71,7.06,8.13,7.81,0.0,0.0,0.0,0.0,0.0,0.0
MECH,65.4,73.2,Male,BSEB,BSEB,OBC,7.18,38781.0,13.850357142857144,7.14,0.0,1.0,6.76,6.53,6.41,7.56,8.25,2.0,1.0,1.0,2.0,0.0,4.0
PROD,75.8,60.6,Male,CBSE,CBSE,GEN,6.52,41047.0,14.659642857142858,6.84,0.0,5.0,6.5,5.94,6.53,7.75,7.81,4.0,1.0,3.0,4.0,0.0,0.0
PROD,81.2,70.46,Male,BSEB,RBSE,OBC,7.0,42777.0,15.2775,7.17,0.0,0.0,6.59,6.41,6.71,7.94,8.5,7.0,3.0,4.0,7.0,0.0,0.0
PROD,88.2,81.88,Female,CBSE,CBSE,GEN,7.47,41105.0,14.680357142857142,7.613,0.0,0.0,7.36,7.18,7.76,8.38,8.13,4.0,2.0,2.0,4.0,0.0,5.0
PROD,78.2,73.4,Male,BSEB,State Board,OBC,7.41,67610.375,23.851026785714282,7.59,0.0,0.0,7.18,6.88,7.24,8.75,8.13,6.0,3.0,3.0,6.0,0.0,5.0
PROD,78.8,66.0,Male,CBSE,CBSE,ST,6.35,67610.375,23.851026785714282,6.44,0.0,3.0,6.35,6.06,6.0,6.94,7.0,3.0,3.0,0.0,3.0,0.0,5.0
PROD,91.0,81.0,Male,CBSE,CBSE,GEN,7.0,36706.0,13.109285714285715,7.07,0.0,0.0,6.65,6.47,6.71,7.94,7.75,0.0,4.0,0.0,4.0,0.0,5.0
PROD,91.2,80.6,Male,ICSE,CBSE,GEN,9.303749999999999,39792.0,14.211428571428572,7.36,0.0,2.0,9.02625,9.0275,8.9925,10.41,7.69,4.0,1.0,3.0,4.0,0.0,5.0
PROD,79.4,63.2,Male,CBSE,CBSE,OBC,6.71,67610.375,23.851026785714282,6.89,0.0,0.0,6.12,6.41,6.88,7.44,7.69,1.0,1.0,0.0,1.0,0.0,5.0
PROD,87.4,83.2,Male,CBSE,CBSE,GEN,7.18,40000.0,14.285714285714286,7.69,0.0,0.0,6.88,7.06,7.88,8.56,8.69,2.0,1.0,1.0,1.0,1.0,5.0
ECE,86.55,79.1,Male,CBSE,CBSE,GEN,7.18,67610.375,10.694107142857142,7.125,0.0,0.0,6.88,6.82,6.955,7.63,7.5,4.0,2.0,2.0,3.0,0.0,0.0
